author,expression,title,edition,placeOfPublication,yearOfPublication,langCode
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb33046258x#Expression,Oeuvres complètes / Victor Hugo : édition chronologique 8,"Paris : le Club français du livre , 1968",Paris,1968,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb330462834#Expression,Victor Hugo témoin de son siècle,"Paris : Ditis (Saint-Amand, impr. Bussière) , 1962",Paris,1962,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb33046411t#Expression,Quatre-vingt-treize,"Paris : Club des amis du livre progressiste (Saverne, Impr. savernoise) , 1962",Paris,1962,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb33046380c#Expression,"Un carnet des ""Misérables"" : octobre-décembre 1860","Paris : Lettres modernes , 1965",Paris,1965,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb33046362f#Expression,Victor Hugo. Les Misérables... Cosette,"Paris : Charpentier , 1965",Paris,1965,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb330464125#Expression,"Quatrevingt-treize. [Introduction, notes, choix de variantes, bibliographie par Jean Boudout.]","Paris : Garnier frères (Bourges, impr. A. Tardy) , 1965",Paris,1965,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb33046288v#Expression,Boîte aux lettres. Édition critique par René Journet et Guy Robert,"Paris : Flammarion (Rodez, impr. P. Carrère) , 1965",Paris,1965,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb33046164k#Expression,Notre-Dame de Paris,"Lausanne : Editions Rencontre , 1959",Lausanne,1959,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb349005732#Expression,Les Châtiments,"Paris : MVE , 1985",Paris,1985,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb35678490c#Expression,Le Grand-Duché de Luxembourg dans les Carnets de Victor Hugo : édition intégrale annotée et commentée,"Luxembourg : R.T.L. Edition, 1985",Luxembourg,1985,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb34635184x#Expression,Gavroche...,"Neuilly-sur-Seine : Dargaud , 1978",Neuilly-sur-Seine,1978,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb35708540t#Expression,Notre-Dame de Paris,"[Evry] : Éd. Carrefour , 1994",[Evry],1994,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb34908455s#Expression,Notre-Dame de Paris,"Paris ; Bruxelles ; Montréal : ""Sélection du Reader's digest"" , 1986",Paris. - Bruxelles. - Montréal,1986,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb35111799h#Expression,Poésie,"Paris : Éditions du Seuil , 1972",Paris,1972,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb34306457z#Expression,Théâtre complet,"[Paris] : Gallimard , 1979-1985",[Paris],1979/1985,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb11907966z#about,http://data.bnf.fr/ark:/12148/cb345489559#Expression,Notre-Dame de Paris : 1482,"[Paris] : Gallimard , 1975",[Paris],1975,http://id.loc.gov/vocabulary/iso639-2/fre
