author,expression,title,edition,placeOfPublication,yearOfPublication,langCode
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb310580741#Expression,"Mme Pardo Bazan. La Tour de la reine More, traduit de l'espagnol par M. Demarès de Hill","Paris : P. Lethielleux , (1912)",Paris,1912,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb31058070n#Expression,Le naturalisme,"Paris : E. Giraud , 1886",Paris,1886,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb31058073p#Expression,"San Francisco de Asis (siglo XIII), con un prologo por D. Marcelino Menendez y Pelayo,... 2dn edición","Paris : Garnier hermanos , 1886",Paris,1886,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb309255498#Expression,San Francisco de Asis...,"Paris , 1886",Paris,1886,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb39124136f#Expression,Cuentos de la tierra,"Buenos Aires : Emecé ed. , 1945",Buenos Aires,1945,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb31058069f#Expression,"Mystère ! par Mme Emilia Pardo Bazan, traduit de l'espagnol par Mmes Maurice Max et Mary Plancke","Paris : impr. du journal ""Le Temps"" , 1913",Paris,1913,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb310580683#Expression,Mère Nature,"Paris : Hachette , 1911",Paris,1911,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb35227673c#Expression,La Tribuna,"Madrid : Cátedra , 1975",Madrid,1975,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb31417627s#Expression,"Tres cuentos. La Compaña, cuento gallego de Emília Pardo Bazán. La Ronda de San Juan, cuento asturiano de Ramón Suárez. Lo Agradable y lo útil, cuento gallego de Manuel del Palacio. Adaptación por Mlle Paraire. Illustraciones de M. J. Metteix","Paris : H. Didier , 1937",Paris,1937,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb31058064q#Expression,"Bucolique, traduction de L. García-Ramón","Paris : A. Savine , 1887",Paris,1887,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb355324720#Expression,Nouvelles de Galice,"Nantes : le Passeur-Cecofop , 1992",Nantes,1992,http://id.loc.gov/vocabulary/iso639-2/fre
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb356549268#Expression,Los cuentos de Emilia Pardo Bazán,"Granada : Universidad de Granada , 1979",Granada,1979,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb32507717v#Expression,"Obras completas, novelas y cuentos","Madrid : Aguilar , 1957-19...",Madrid,1957/19,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb355278874#Expression,La Quimera,"Barcelona : PPU , 1992",Barcelona,1992,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb469110489#Expression,La sirena negra,"Barcelona : Castalia , 2021",Barcelona,2021,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb37536984m#Expression,Cuentos dramáticos,"Barcelona : Bígaro , 1998",Barcelona,1998,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb473467156#Expression,Las frases frágiles,"Barcelona : La Bella Varsovia , DL 2023",Barcelona,2023,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb36639595x#Expression,La Cuestión palpitante,"Barcelona : Anthropos , 1989",Barcelona,1989,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb476210511#Expression,Dulce dueño,"Barcelona : Castalia , 2022",Barcelona,2022,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb471899018#Expression,"""El peregrino"" : y otras historias en Compostela","Santiago de Compostela : Alvarellos Editora : Consorcio de Santiago , 2021",Santiago de Compostela,2021,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb471990777#Expression,Epistolario de Emilia Pardo Bazán a Benito Pérez Galdós : crónica de un encuentro intelectual y sentimental,"Santiago de Compostela : Universidade de Santiago de Compostela , 2021",Santiago de Compostela,2021,http://id.loc.gov/vocabulary/iso639-2/spa
http://data.bnf.fr/ark:/12148/cb12004268k#about,http://data.bnf.fr/ark:/12148/cb37412259x#Expression,Insolación,"Madrid : Espasa-Calpe , 1991",Madrid,1991,http://id.loc.gov/vocabulary/iso639-2/spa
